Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
690;wielkopolskie;śremski;Powiat;Śremski;Śrem, ul. Staszica 3;Przebudowa kompleksu lekkoatletycznego oraz boiska wielofunkcyjnego;400000
691;wielkopolskie;śremski;Inny;Śremski Sport Sp. z o.o.;Śrem, ul. S.Staszica 1 A;Przebudowa i remont pływalni miejskiej;3000000
692;wielkopolskie;turecki;Gmina;Przykona;Rogów;Budowa boiska piłkarskiego;104900
693;wielkopolskie;wągrowiecki;Miasto i Gmina;Gołańcz;Gołańcz;Rozbudowa i remont budynku zaplecza sanitarno-szatniowego;784000
694;wielkopolskie;wągrowiecki;Gmina Miejska;Wągrowiec;Wągrowiec, ul. Kościuszki 59, ul. Krótka 4;Modernizacja 2 boisk wielofunkcyjnych;427000
695;wielkopolskie;wągrowiecki;Gmina;Wągrowiec;Łekno, ul. Pocztowa 7;Budowa hali sportowej;2409400
696;wielkopolskie;wolsztyński;Gmina;Przemęt;Mochy, ul. Szkolna 7;Przebudowa boiska wielofunkcyjnego, 4-torowej bieżni okrężnej o dł. 200 m z 6-torowym odcinkiem prostym o dł. 100 m ;395000
697;wielkopolskie;wolsztyński;Gmina;Przemęt;Bucz, ul. Kasztanowa 8;Budowa boiska wielofunkcyjnego;250000
698;wielkopolskie;wolsztyński;Gmina;Wolsztyn;Wolsztyn, ul. Konopnickiej 1;Budowa boiska wielofunkcyjnego i do siatkówki;143000
699;wielkopolskie;wrzesiński;Gmina;Września;Wrześnie, ul. Kosynierów;Budowa Sali gimnastycznej;947600
700;wielkopolskie;złotowski;Gmina i Miasto;Jastrowie;Jastrowie, al.. Wolności 1;Budowa boiska wielofunkcyjnego i 4-torowej bieżni prostej o długości  76 m;152500
701;zachodniopomorskie;gryfiński;Powiat;Gryfiński;Chojna, ul. Podmurze 4;Modernizacja sali gimnastycznej;118100
702;zachodniopomorskie;kołobrzeski;Powiat;Kołobrzeski;Kołobrzeg, ul. Śliwińskiego;Modernizacja stadionu lekkoatletycznego - kat. VA;2000000
703;zachodniopomorskie;kołobrzeski;Gmina;Ustronie Morskie;Ustronie Morskie działki nr 388, 387/1, 390/1, 389/3;Budowa boiska piłkarskiego;733800
704;zachodniopomorskie;m. Szczecin;Gmina Miasto;Szczecin;Szczecin, ul. Młodzieży Polskiej 9;Budowa sali gimnastycznej;1349900
705;zachodniopomorskie;m. Szczecin;Gmina Miasto;Szczecin;Szczecin, ul. Litewska 20;Modernizacja kompleksu lekkoatletycznego;1500000
706;zachodniopomorskie;m. Świnoujście;Gmina Miasto;Świnoujście;Świnoujście, ul. Białoruska;Modernizacja, budowa kompleksu sportowego poprzez: budowę budynku zaplecza, bieżni okrężnej 400-metrowej z bieżnią prostą o dł. 100m, skoczni do skoku w dal oraz siłowni plenerowej;2000000
707;zachodniopomorskie;policki;Gmina;Kołbaskowo;Przecław;Remont bieżni okrężnej o dł. 333,33 m z bieżnią prostą o dł. 100 m, boiska do piłki nożnej, koszykówki, piłki ręcznej;1329500
708;zachodniopomorskie;policki;Gmina;Police;Police, ul. Siedlecka 2b;Przebudowa hali sportowej;2000000
709;zachodniopomorskie;sławieński;Gmina;Darłowo;Kopnica 24;Budowa sali gimnastycznej;721900
710;zachodniopomorskie;sławieński;Gmina;Sławno;Żukowo, Żukowo 65;Budowa sali gimnastycznej;750000
711;zachodniopomorskie;sławieński;Gmina;Sławno;Żukowo 65;Budowa sali gimnastycznej;750000
712;zachodniopomorskie;stargardzki;Inny;Ośrodek Sportu i Rekreacji Stargard sp. z o. o.;Stargard, ul. Sportowa 1;Modernizacja kompleksu lekkoatletycznego;1038400
713;zachodniopomorskie;szczecinecki;Gmina;Borne Sulinowo;Borne Sulinowo, ul. Sportowa;Przebudowa bieżni lekkoatletycznej okrężnej 4-torowej 400 m;742000
714;zachodniopomorskie;szczecinecki;Miasto;Szczecinek;Szczecinek, ul. Kopernika;Budowa sali gimnastycznej;1500000
715;zachodniopomorskie;wałecki;COS;COS OPO w Wałczu;Wałcz, Al. Zdobywców Wału Pomorskiego 99;Rozbudowa stołówki i modernizacja zaplecza kuchennego;1207800
716;zachodniopomorskie;wałecki;COS;COS OPO w Wałczu;Wałcz, ul. Zdobywców Wału Pomorskiego 99;Zakup wyposażenia dla treningu wioślarskiego;90700
