Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
320;mazowieckie;siedlecki;Inny;Agencja Rozwoju Miasta Siedlce Sp. z o.o.;Siedlce, ul. B.Prusa 6;Remont, zakup budynku siłowni oraz zakup sprzętu sportowego;129500
321;mazowieckie;siedlecki;Gmina;Kotuń;Kotuń, ul. Szkolna 2;Przebudowa boiska piłkarskiego;100000
322;mazowieckie;sierpecki;Gmina Miasto;Sierpc;Sierpc, ul. M. Konopnickiej;Budowa skateparku;100000
323;mazowieckie;sokołowski;Powiat;Sokołowski;Sokołów Podlaski, ul. Sadowa 11 i M.Curie-Skłodoweskiej 24;Remont sali gimnastycznej w I LO oraz sali gimnastycznej i korekcyjnej w ZS nr 1;131600
324;mazowieckie;sokołowski;Miasto;Sokołów Podlaski;Sokołów Podlaski, ul. Lipowa 50;Przebudowa stadionu miejskiego;900000
325;mazowieckie;szydłowiecki;Gmina;Szydłowiec;"Szydłowiec, os. Wschód, ul. Mickiewicza; Majdów";Budowa skoczni do skoku w dal przy PG nr 2, placu zabaw, siłowni zewnętrznej oraz siłowni zewnętrznej przy ZS;100000
326;mazowieckie;warszawski zachodni;Gmina;Błonie;Błonie, ul. Poniatowskiego 19;Budowa sali gimnastycznej;998000
327;mazowieckie;warszawski zachodni;Gmina;Łomianki;Łomianki, ul. Rolnicza 435;Budowa sali gimnastycznej oraz boiska piłkarskiego i wielofunkcyjnego;492700
328;mazowieckie;wołomiński;Gmina;Jadów;Jadów, ul. 11 Listopada 15;Przebudowa boiska piłkarskiego;1353500
329;mazowieckie;wołomiński;Miasto;Ząbki;Ząbki, ul. Kościelna 2;Przebudowa boiska na boisko piłkarskie;164600
330;mazowieckie;wołomiński;Miasto;Ząbki;Ząbki, ul. Słowackiego;Budowa treningowego boiska piłkarskiego;800000
331;mazowieckie;wyszkowski;Gmina;Długosiodło;Długosiodło, ul. Sportowa;Budowa boiska piłkarskiego;1300000
332;mazowieckie;wyszkowski;Gmina;Rząśnik;Porządzie;Budowa sali gimnastycznej;650000
333;mazowieckie;wyszkowski;Powiat;Wyszkowski;Wyszków, ul. I Armii Wojska Polskiego 82;Budowa kompleksu lekkoatletycznego ;175000
334;mazowieckie;wyszkowski;Gmina;Wyszków;Wyszków, ul. Prosta;Budowa placu zabaw;110600
335;mazowieckie;żyrardowski;Miasto;Żyrardów;Żyrardów, ul. Narutowicza 39a;Przebudowa boiska wielofukcyjnego;157500
336;opolskie;brzeski;Gmina;Brzeg;Brzeg, ul. Robotnicza 22;Przebudowa   boisk wielofunkcyjnych  o nawierzchni poliuretanowej i z trawy naturalnej, budowa skoczni do skoku w dal oraz siłowni plenerowej;257600
337;opolskie;brzeski;Gmina;Brzeg;Brzeg, ul. Oławska 2a;Remont hali sportowej - IV etap;144000
338;opolskie;brzeski;Gmina;Brzeg;Brzeg, ul. Bohaterów Monte Cassino 14;Budowa obiektu lekkoatletycznego;400000
339;opolskie;brzeski;Gmina;Lubsza;Błota, Czepielowice, Michałowice, Piastowice, Raciszów, Rogalice, Roszkowice, Szydłowice, Śmiechowice, Pisarzowice, Lubsza;Budowa siłowni plenerowych oraz boiska wielofunkcyjnego i siłowni plenerowej w Lubszy;100000
340;opolskie;głubczycki;Gmina Miejska;Głubczyce;Głubczyce, ul. Dworcowa 2;Budowa 2 boisk wielofunkcyjnych;108000
341;opolskie;głubczycki;Powiat;Głubczycki;Głubczyce, ul. Kochanowskiego 15;Budowa boiska wielofunkcyjnego i siłowni plenerowej;100000
342;opolskie;kędzierzyńsko-kozielski;Gmina;Bierawa;Solarnia, ul. Raciborska 42;Budowa boiska wielofunkcyjnego;87400
343;opolskie;kędzierzyńsko-kozielski;Miasto;Kędzierzyn-Koźle;Kędzierzyn-Koźle, ul. Szymanowskiego 19, ul. Kanonierów;Budowa boiska wielofunkcyjnego, boiska piłkarskiego, bieżni okrężnej, prosteji skoczni do skoku w dal przy ZSM nr 2 oraz budddowa placu zabaw z częścią sportową przy PSP nr 20;506800
344;opolskie;kędzierzyńsko-kozielski;Gmina;Kędzierzyn-Koźle;Kędzierzyn-Koźle, ul. Partyzantów 30, ul. Piastowska 30;Modernizacja sali gimnastycznej  oraz bieżni okrężnej o długości 300 m;374900
345;opolskie;krapkowicki;Gmina;Krapkowice;Krapkowice, ul. Kwiatowa 7;Budowa boiska wielofunkcyjnego - etap I;74300
346;opolskie;m. Opole;Miasto;Opole ;Opole, ul. Piotrkowska, Koszalińska, Sieradzka;Budowa boiska wielofunkcyjnego, siłowni plenerowej, torów do gry w boule oraz modernizacja terenu sportowo-rekreacyjnego;385900
347;opolskie;m. Opole;Miasto;Opole  ;Opole, ul. Hallera oraz ul. Tatrzańska, ul. Katowicka i ul. Dekabrystów;Budowa boiska wielofunkcyjnego, bieżni prostej o dł. 100 m i siłowni zewnętrznej oraz budowa siłowni zewnętrznych z placami zabaw;288000
348;opolskie;nyski;Gmina;Nysa;Nysa;Budowa boiska wielofunkcyjnego;220000
349;opolskie;nyski;Gmina;Pakosławice;Pakosławice 2a;Budowa boiska wielofunkcyjnego;150000
350;opolskie;nyski;Szkoła/Uczelnia;Państwowa Wyższa Szkoła Zawodowa w Nysie;Nysa, ul. Głuchołaska 12;Modernizacja hali sportowej;302100
351;opolskie;oleski;Gmina;Rudniki;Rudniki, ul. Wieluńska 15;Budowa kompleksu lekkoatletycznego;166300
352;opolskie;opolski;Gmina;Łubniany;"Luboszyce, ul. Szkolna; Kępa, ul. Zawadzka; Kolanowice, ul. Sportowa; Masów, ul. Opolska; Dąbrówka Łubniańska, ul. Oleska; Brynica, ul. Ks. Klimasa";Budowa boiska wielofunkcyjnego przy PSP w Luboszycach oraz budowa siłowni zewnętrznych w 5 miejscowościach;133000
353;opolskie;opolski;Gmina;Murów;Zagwiździe, ul. Lipowa 68;Budowa sali gimnastycznej z łącznikiem;2399600
354;opolskie;opolski;Gmina;Ozimek;Ozimek, ul. Daniecka 14;Budowa boiska wielofunkcyjnego;100000
355;opolskie;opolski;Gmina;Turawa;Turawa, ul. Opolska 47;Budowa hali sportowej;4000000
356;opolskie;prudnicki;Gmina;Biała;Biała, ul. Tysiąclecia 16;Budowa boisk: piłkarskiego, wielofunkcyjnego i kortu tenisowego wraz z budynkiem zaplecza;642000
357;opolskie;prudnicki;Gmina;Głogówek;Głogówek, ul. Damrota, ul. Powstańców;Budowa budynku zaplecza szatniowego prz boisku piłkarskim oraz montaż kontenerów zaplecza prz boisku piłkarskim;115800
358;podkarpackie;brzozowski;Gmina;Brzozów;Zmiennica;Budowa sali gimnastycznej;1079800
