Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogó³em z³
186;mazowieckie;m. Siedlce;Miasto;Siedlce;Siedlce, ul. Wiœniowa 5;Budowa boiska do pi³ki rêcznej i wielofunkcyjnego, bie¿ni okólnej i prostej ze skoczni¹ do skoku w dal;140 000,00 z³
187;mazowieckie;przysuski;Gmina i Miasto;Przysucha;Przysucha, ul. Warszawska 45;Budowa hali sportowej;900 000,00 z³
188;mazowieckie;miñski;Miasto;Miñsk Mazowiecki;Miñsk Mazowiecki, ul. Budowlana 2;Budowa Sali sportowej;1 910 000,00 z³
189;mazowieckie;radomski;Gmina;Pionki;Suskowola;Budowa boiska pi³karskiego wraz z budynkiem zaplecza socjalnego;486 100,00 z³
190;mazowieckie;grójecki;Gmina;Goszczyn;Goszczyn, ul. Armii Krajowej 2;Budowa bie¿ni okólnej;150 000,00 z³
191;mazowieckie;m. Siedlce;Inny;Diecezja Siedlecka;Siedlce, ul. Soko³owska 172;Budowa Sali gimnastycznej;1 100 000,00 z³
192;mazowieckie;otwocki;Gmina;Celestynów;Celestynów, ul. Œw. Kazimierza 55;Budowa sali gimnastycznej;2 300 000,00 z³
193;mazowieckie;przysuski;Gmina;Wieniawa;Wieniawa, ul. Sportowa 7;Budowa boiska pi³karskiego przyszkolnego, bie¿ni okólnej i terenowych urz¹dzeñ sportowych;270 000,00 z³
194;mazowieckie;soko³owski;Powiat;Soko³owski;Soko³ów Podlaski, ul. Marii Sk³odowskiej Curie 24;Budowa hali spotowej;1 500 000,00 z³
195;mazowieckie;ostro³êcki;Gmina;Lelis;D³ugi K¹t;Budowa boiska pi³karskiego i do siatkówki pla¿owej wraz z budynkiem zaplecza;90 000,00 z³
196;mazowieckie;kozienicki;Powiat;Kozienicki;Kozienice, ul. Warszawska 72;Budowa boiska pi³karskiego;325 000,00 z³
197;mazowieckie;bia³obrzeski;Gmina;Promna;Promna-Kolonia;Modernizacja boiska pi³karskiego;50 000,00 z³
198;mazowieckie;radomski;Gmina;Gózd;Kuczki-Kolonia;Remont boiska pi³karskiego, bie¿ni okólnej i skoczni do skoku w dal;650 000,00 z³
199;mazowieckie;radomski;Gmina;Kowala;Mazowszany, Mazowszany 6;Budowa sali gimnastycznej;400 000,00 z³
200;mazowieckie;miñski;Gmina;Dêbe Wielkie;Cyganka, ul. Szkolna 21;Budowa boiska wielofuncyjnego oraz bie¿ni;100 000,00 z³
201;mazowieckie;przysuski;Gmina;Odrzywó³;Ossa;Budowa boiska wielofunkcyjnego;120 000,00 z³
202;mazowieckie;ostro³êcki;Gmina;Czarnia;Czarnia;Budowa boiska wielofunkcyjnego z bie¿ni¹ okóln¹ oraz boiska do siatkówki i skoczni w dal;100 000,00 z³
203;mazowieckie;wyszkowski;Gmina;Wyszków;Rybienko Leœne, ul. Batorego 6;Budowa boiska wielofunkcyjnego;100 000,00 z³
204;mazowieckie;wyszkowski;Gmina;Wyszków;Rybno, ul. Nadbu¿añska;Budowa boiska pi³karskiego i wielofunkcyjnego;125 000,00 z³
