Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
335;podkarpackie;mielecki;Powiat;Mielecki;Mielec, ul. Jędrusiów 1;Przebudowa boiska wielofunkcyjnego i bieżni prostej;328 099,00
336;podkarpackie;mielecki;Gmina;Tuszów Narodowy;Jaślany;Budowa zaplecza socjalno-sanitarnego;240 800,00
337;podkarpackie;mielecki;Gmina Miejska;Mielec;Mielec, ul. Solskiego 1;Remont i rozbudowa hali widowiskowo-sportowej;7 000 000,00
338;podkarpackie;niżański;Gmina i Miasto;Ulanów;Kurzyna Średnia, Kurzyna Średnia 35a;Budowa boiska wielofunkcyjnego;150 000,00
339;podkarpackie;niżański;Gmina;Jarocin;Zdziary;Budowa budynku szatniowo-socjalnego;317 600,00
340;podkarpackie;przeworski;Gmina;Adamówka;Majdan Sieniawski, Majdan Sieniawski 197;Budowa sali gimnastycznej;1 100 000,00
341;podkarpackie;przeworski;Miasto i Gmina;Kańczuga;Kańczuga, ul. Parkowa 4;Przebudowa bieżni okrężnej 400 m;212 500,00
342;podkarpackie;ropczycko-sędziszowski;Gmina;Sędziszów Małopolski;Sędziszów Małopolski, Osiedle Młodych 20;Budowa sali gimnastycznej;600 000,00
343;podkarpackie;ropczycko-sędziszowski;Gmina;Wielopole Skrzyńskie;Glinik;Budowa sali gimnastycznej;1 000 000,00
344;podkarpackie;ropczycko-sędziszowski;Gmina;Ropczyce;Ropczyce, ul. Konarskiego 4;Remont 2 boisk: wielofunkcyjnego i piłkarskiego;319 138,00
345;podkarpackie;rzeszowski;Powiat;Rzeszowski;Trzciana, Trzciana 192;Budowa maneżu i padoku;600 000,00
346;podkarpackie;rzeszowski;Gmina;Krasne;Malawa;Budowa hali sportowej;1 500 000,00
347;podkarpackie;rzeszowski;Gmina;Głogów Małopolski;Pogwizdów Nowy, 252;Budowa sali gimnastycznej;600 000,00
348;podkarpackie;rzeszowski;Gmina;Trzebownisko;Wólka Podleśna 9;Budowa budynku zaplecza;500 000,00
349;podkarpackie;rzeszowski;Gmina;Boguchwała;Boguchwała, Mogielnica, Nosówka, Zgłobień, Zarzecze;Modernizacja 5 boisk piłkarskich na stadionach;686 500,00
350;podkarpackie;rzeszowski;Gmina;Tyczyn;Hermanowa, Hermanowa 212;Przebudowa boiska wielofunkcyjnego;176 200,00
351;podkarpackie;sanocki;Gmina;Tyrawa Wołoska;Tyrawa Wołoska;Budowa sali gimnastycznej;400 000,00
352;podkarpackie;sanocki;Inny;Fundacja Promocji Sportu EKOBALL;Bykowce, ul. Marii Spanily;Przebudowa 2 boisk piłkarskich o nawierzchni z naturalnej trawy;468 000,00
353;podkarpackie;stalowowolski;Gmina;Stalowa Wola;Stalowa Wola, ul. Romana Dmowskiego 9;Budowa wielofunkcyjnego boiska sportowego;114 900,00
354;podkarpackie;stalowowolski;Gmina;Stalowa Wola;Stalowa Wola, ul. Hutnicza 14;Przebudowa boiska piłkarskiego;1 000 000,00
355;podkarpackie;stalowowolski;Gmina;Zaleszany;Zaleszany, ul. Sandomierska 95;Przebudowa boiska wielofunkcyjnego;150 000,00
356;podkarpackie;stalowowolski;Powiat;Stalowowolski;Stalowa Wola, ul. 1-go sierpnia 26;Budowa kompleksu lekkoatletycznego;344 200,00
357;podkarpackie;stalowowolski;Gmina;Stalowa Wola;Stalowa Wola, ul. Poniatowskiego 55;Budowa kompleksu lekkoatletycznego;350 000,00
358;podkarpackie;stalowowolski;Gmina;Bojanów;Przyszów Zapuście;Budowa kompleksu lekkoatletycznego;350 000,00
359;podkarpackie;stalowowolski;Gmina;Stalowa Wola;Stalowa Wola, ul. Wojska Polskiego 9;Budowa kompleksu lekkoatletycznego;175 000,00
360;podkarpackie;tarnobrzeski;Powiat;Tarnobrzeski;Nowa Dęba, ul. Kościuszki 101;Remont hali sportowej;178 300,00
361;podkarpackie;tarnobrzeski;Gmina;Nowa Dęba;Nowa Dęba, ul. Rzeszowska dz. Nr ewid. 306;Budowa kompleksu lekkoatletycznego;886 500,00
362;podlaskie;augustowski;Gmina;Augustów;Białobrzegi, Białobrzegi 75;Rozbudowa i remont sali gimnastycznej;102 000,00
363;podlaskie;augustowski;Gmina Miasto;Augustów;Augustów, ul. Nowomiejska 41;Budowa boiska piłkarskiego, bieżni, skoczni w dal;371 000,00
364;podlaskie;białostocki;Gmina;Łapy;Uhowo, ul. Szkolna 19;Budowa pełnowymiarowej sali gimnastycznej;132 100,00
365;podlaskie;białostocki;Gmina;Czarna Białostocka;Czarna Wieś Kościelna, ul. Szkolna 1;Budowa boiska wielofunkcyjnego i bieżni prostej;111 300,00
366;podlaskie;białostocki;Gmina;Łapy;Płonka Kościelna, oraz Łapy ul. Matejki 19;Budowa terenowych urządzeń sportowych (boisko, bieżnie, skocznie);98 500,00
367;podlaskie;białostocki;Gmina;Supraśl;Supraśl, ul. Piłsudskiego 1;Budowa 2 boisk (do piłki ręcznej i siatkówki), bieżni i skoczni;240 000,00
368;podlaskie;białostocki;Gmina;Dobrzyniewo Duże;Dobrzyniewo Duże, ul. Szkolna 14;Remont boiska wielofunkcyjnego;60 000,00
369;podlaskie;białostocki;Gmina;Wasilków;Wasilków, ul. Polna 1/4A;Remont sali gimnastycznej;105 000,00
370;podlaskie;białostocki;Powiat;Białostocki;Łapy, ul. Bohaterów Westerplatte 10;Modernizacja boiska wielofunkcyjnego, bieżni okrężnej 4-torowe o dł. 250 m, skoczni do skoku w dal;229 000,00
371;podlaskie;bielski;Miasto;Bielsk Podlaski;Bielsk Podlaski, ul. Poniatowskiego 18;Budowa 2 boisk (wielofunkcyjnego i do piłki ręcznej) i terenowych urządzeń sportowych;150 000,00
372;podlaskie;hajnowski;Gmina;Białowieża;Białowieża, ul. Sportowa 1;Budowa placu zabaw;40 800,00
373;podlaskie;m. Białystok;Klub sportowy;"Białostocki Klub Sportowy ""Hetman""";Białystok, ul. Kawaleryjska 17A;Budowa pełnowymiarowej sali gimnastycznej;100 000,00
374;podlaskie;m. Białystok;Miasto;Białystok;Białystok, osiedle Jaroszówka;Budowa boiska wielofunkcyjnego, placu zabaw oraz siłowni zewnętrznej;400 000,00
375;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Narewska 11;Budowa boiska wielofunkcyjnego i biezni 3-torowych (okrężnej i prostej);279 800,00
376;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Zwycięstwa 28;Przebudowa instalacji wentylacyjnej w pływalni krytej;250 000,00
377;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Wiatrakowa 18;Budowa 2 boisk wielofunkcyjnych, bieżni prostej, skoczni w dal i placu zabaw;285 000,00
378;podlaskie;m. Białystok;Miasto;Białystok;Białystok, al. 1000-lecia Państwa Polskiego;Budowa 3 boisk (piłkarskiego, wielofunkcyjnego, do piłki siatkowej plażowej), bieżni okrężnej i prostej, siłowni plenerowej i budynku zaplecza;691 000,00
379;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Pietrasze 29;Rozbudowa i przebudowa hali sportowej o badmintonową halę sportową z zapleczem;1 800 000,00
380;podlaskie;m. Łomża;Miasto;Łomża;Łomża, ul. Niemcewicza 17;Budowa boiska do piłki nożnej;76 000,00
381;podlaskie;m. Łomża;Miasto;Łomża;Łomża, ul. Niemcewicza 17;Budowa boiska wielofunkcyjnego;102 000,00
382;podlaskie;m. Łomża;Miasto;Łomża;Łomża, ul. Przykoszarowa 22;Budowa boiska wielofunkcyjnego i kortu tenisowego;270 000,00
383;podlaskie;m. Łomża;Miasto;Łomża;Łomża, ul. M. Kopernika 16;Remont Sali gimnastycznej;190 500,00
384;podlaskie;m. Suwałki;Miasto;Suwałki;Suwałki, ul. Klonowa 51;Budowa 2 boisk: piłkarskiego i wielofunkcyjnego;450 000,00
385;podlaskie;m. Suwałki;Miasto;Suwałki;Suwałki, ul. Minkiewicza 50;Budowa bieżni prostej i okrężnej (3 torowej);105 000,00
386;podlaskie;m. Suwałki;Miasto;Suwałki;Suwałki, ul. Wojska Polskiego 2, Daszyńskiego, Szpitalnej i Reymonta, Północna;Budowa Street Workout i Parkour Park oraz 3 siłowni plenerowych;156 000,00
