Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
171;łódzkie;zduńskowolski;Powiat;Zduńskowolski;Zduńska Wola, ul. Komisji Edukacji Narodowej;Budowa kompleksu lekkoatletycznego;127 400,00
172;małopolskie;bocheński;Gmina;Bochnia;Bogucice i Damnice;Remont boisk wielofunkcyjnych;91 100,00
173;małopolskie;bocheński;Gmina Miasta;Bochnia;Bochnia, ul. Parkowa 2;Remont bieżni lekkoatletycznej;206 100,00
174;małopolskie;chrzanowski;Gmina;Babice;Mętków, ul. Karola Wojtyły 21;Budowa sali gimnastycznej;1 400 000,00
175;małopolskie;krakowski;Gmina;Sułoszowa;Sułoszowa I;Budowa boiska piłkarskiego, urządzeń lekkoatletycznych i siłowni zewnętrznej;700 000,00
176;małopolskie;krakowski;Gmina;Kocmyrzów-Luborzyca;Wysiołek Luborzycki 160b;Remont sali gimnastycznej wraz z zapleczem socjalno-sanitarnym;183 500,00
177;małopolskie;krakowski;Gmina;Igołomia-Wawrzeńczyce;Igołomia;Przebudowa boiska wielofunkcyjnego, bieżni ze skocznią w dal i siłowni zewnętrznej;262 000,00
178;małopolskie;krakowski;Gmina;Zabierzów;Zabierzów, ul. Kolejowa 15a;Rozbudowa i częściowa przebudowa krytej pływalni;611 400,00
179;małopolskie;limanowski;Gmina;Kamienica;Kamienica;Budowa sali gimnastycznej;482 900,00
180;małopolskie;limanowski;Gmina;Laskowa;Kamionka Mała;Budowa sali gimnastycznej;855 000,00
181;małopolskie;limanowski;Gmina;Łukowica;Stronie, Stronie 2;Budowa sali gimanstycznej;1 000 000,00
182;małopolskie;limanowski;Gmina;Mszana Dolna;Kasinka Mała;Odbudowa kompleksu sportowego Orlik;555 400,00
183;małopolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, ul. Kazimierza Odnowiciela 2;Modernizacja dwóch boisk wielofunkcyjnych oraz urządzeń lekkoatletycznych;290 000,00
184;małopolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, ul. Wacława Popławskiego 17;Budowa boiska wielofunkcyjnego, boiska do siatkówki wraz z urządzeniami lekkoatletycznymi;216 800,00
185;małopolskie;m. Kraków;Inny;Wojewódzki Ludowy Klub Sportowy KRAKUS;Kraków, Kąpielowa 51;Termomodernizacja hali sportowej krytej ujeżdżalni;459 900,00
186;małopolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, ul. Lipowskiego 5;Modernizacja boiska piłkarskiego;513 600,00
187;małopolskie;m. Kraków;Klub sportowy;RKS Garbarnia Kraków;Kraków, ul. Rydlówka 23;Przebudowa boiska piłkarskiego;326 000,00
188;małopolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, al. Focha;Budowa hali 100-lecia KS Cracovia wraz z Centrum Sportu Osób Niepełnosprawnych;10 000 000,00
189;małopolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, ul. Grochowska 20;Budowa hali sportowej z zapleczem;5 050 000,00
190;małopolskie;m. Tarnów;Miasto;Tarnów;Tarnów, ul. Bitwy pod Studziankami 5;Modernizacja boiska wielofunkcyjnego i boiska do badmintona;414 000,00
191;małopolskie;myślenicki;Inny;Myślenicki Ośrodek Kultury i Sportu;Myślenice, ul. Ogrodowa 19;Rozbudowa pomieszczeń odnowy biologicznej na basenie;120 300,00
192;małopolskie;nowosądecki;Gmina;Chełmiec;Chełmiec, ul. Papieska 2;Budowa krytej pływalni;2 000 000,00
193;małopolskie;nowosądecki;Gmina;Grybów;Ptaszkowa;Budowa tras nartorolkowych oraz budynku zaplecza;2 450 700,00
194;małopolskie;nowotarski;Gmina;Nowy Targ;Pyzówka, ul. Orkana 6;Budowa sali gimnastycznej;965 000,00
195;małopolskie;suski;Gmina;Sucha Beskidzka;Sucha Beskidzka, ul. Zasypnicka 1;Budowa sali gimnastycznej;377 000,00
196;małopolskie;suski;Powiat;Suski;Sucha Beskidzka, ul. Zielona 1;Remont krytej pływalni;162 600,00
197;małopolskie;suski;Gmina;Sucha Beskidzka;Sucha Beskidzka, ul. Mickiewicza;Modernizacja kompleksu lekkoatletycznego;720 100,00
198;małopolskie;tarnowski;Gmina;Szerzyny;Szerzyny;Budowa bieżni lekkoatletycznej okrężnej 400 m 6-torowej i boiska wielofunkcyjnego;248 000,00
199;małopolskie;tatrzański;Inny;Województwo Małopolskie;Zakopane, ul. Droga do Olczy 26;Rozbudowa ZSMS o halę sportową;4 000 000,00
200;małopolskie;tatrzański;COS;COS OPO w Zakopanem;Zakopane, ul. Czecha 1;Zakup i montaż środków trwałych - band ochronnych dla toru lodowego oraz urządzeń chłodniczych - pomp;690 900,00
201;małopolskie;wadowicki;Gmina;Tomice;Radocza, ul. Dębowa 49;Budowa sali gimnastycznej;318 000,00
202;mazowieckie;białobrzeski;Gmina;Promna;Rykały;Budowa boiska piłkarskiego i wielofunkcyjnego;209 500,00
203;mazowieckie;białobrzeski;Powiat;Białobrzeski;Białobrzegi, ul. Sądowa;Remont boiska wielofunkcyjnego;168 500,00
204;mazowieckie;białobrzeski;Gmina;Białobrzegi;Białobrzegi, pl. Zygmnta Starego 9;Przebudowa kompleksu lekkoatletycznego;930 000,00
205;mazowieckie;ciechanowski;Miasto;Ciechanów;Ciechanów, ul. 17 Stycznia 60B;Modernizacja krytej pływalni;500 000,00
206;mazowieckie;garwoliński;Powiat;Garwoliński;Garwolin, ul. Staszica 15;Remont boiska wielofunkcyjnego i boiska do siatkówki oraz budowa siłowni zewnętrznej;100 000,00
207;mazowieckie;garwoliński;Gmina;Górzno;Górzno Kolonia;Budowa hali sportowej oraz boiska wielofunkcyjnego i bieżni prostej;1 500 000,00
208;mazowieckie;grójecki;Gmina;Chynów;Sułkowice, ul. Ogrodowa 38A;Budowa sali gimnastycznej;280 000,00
209;mazowieckie;grójecki;Gmina;Grójec;Lesznowola, ul. Szkolna 1;Budowa boiska wielofunkcyjnego;200 000,00
210;mazowieckie;grójecki;Gmina;Warka;Warka, ul Mostowa 1;Budowa kompleksu lekkoatletycznego;600 000,00
211;mazowieckie;kozienicki;Gmina;Kozienice;Kozienice, ul. Głowaczowska 33;Budowa boiska piłkarskiego;130 000,00
212;mazowieckie;legionowski;Gmina;Wieliszew;Wieliszew, działka nr 44/193;Budowa sali gimnastycznej;970 000,00
213;mazowieckie;łosicki;Gmina;Sarnaki;Serpelice;Budowa boiska wielofunkcyjnego;80 000,00
214;mazowieckie;m. Radom;Gmina Miasta;Radomia;Radom, ul. Osiedlowa 36;Budowa boiska piłkarskiego;100 000,00
215;mazowieckie;m. Radom;Gmina Miasta;Radomia;Radom, ul. Kujawska 19;Budowa boiska wielofunkcyjnego;100 000,00
216;mazowieckie;m. Radom;Gmina Miasta;Radomia;Radom, ul. Malenicka 29;Budowa boiska piłkarskiego i biezni prostej 60 m oraz przebudowa boiska wielofunkcyjnego;120 000,00
217;mazowieckie;m. Radom;Gmina Miasta;Radomia;Radom, ul. Ceglana 14;Budowa sali gimnastycznej;600 000,00
218;mazowieckie;m. Radom;Inny;Miejski Ośrodek Sportu i Rekreacji w Radomiu Sp. z o.o;Radom, ul. Bulwarowa;Budowa odkrytych kortów tenisowych oraz budynku zaplecza sanitarno-szatniowego;1 528 900,00
219;mazowieckie;m. Radom;Inny;Miejski Ośrodek Sportu i Rekreacji w Radomiu Sp. z o.o;Radom, ul. Krasickiego 78;Remont sali treningowej przeznaczonej do sportów walki;274 900,00
220;mazowieckie;m. Radom;Inny;Miejski Ośrodek Sportu i Rekreacji w Radomiu Sp. z o.o;Radom, ul. Piastowska 17;Remont systemu wentylacji;264 200,00
221;mazowieckie;m. Radom;Inny;Miejski Ośrodek Sportu i Rekreacji w Radomiu Sp. z o.o;Radom, ul. Narutowicza 9;Budowa hali sportowo-widowiskowej;35 679 700,00
222;mazowieckie;m. Siedlce;Miasto;Siedlce;Siedlce, ul. Henryka Sienkiewicza 49;Modernizacja sali gimnastycznej oraz zaplecza sanitarno-szatniowego;100 000,00
223;mazowieckie;m. st. Warszawa;Miasto;st. Warszawa/Ursus;Warszawa, ul. Konińska;Budowa hali sportowej;990 000,00
224;mazowieckie;m. st. Warszawa;Inny;WM-Sport Sp. z o.o;Warszawa/Białołęka, ul. Fleminga 2;Remont boiska piłkarskiego z piłkochwytami;329 900,00
225;mazowieckie;m. st. Warszawa;COS;COS Warszawa;Warszawa, ul. Łazienkowska 6a;Budowa maszynowni chłodu w Centralnym Ośrodku Sportu w Warszawie;2 621 200,00
226;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Rozbudowa systemu teleinformatycznego do zarządzania danymi w zakresie bezpieczeństwa danych;600 000,00
227;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Zakup i montaż układu LCMS dla Zakładu Badań Antydopingowych;1 225 000,00
228;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Adaptacja pomieszczeń i utworzenie laboratorium Zespołu Certyfikacji;130 000,00
229;mazowieckie;m. Stołeczne Warszawa;Klub sportowy;"Warszawski Klub Tenisowy ""MERA""";Warszawa/Ochota, al.. Bohaterów Września 12;"Modernizacja hali ""A"" WKT ""MERA""";226 200,00
230;mazowieckie;makowski;Gmina;Rzewnie;Rzewnie 3;Budowa sali gimnastycznej wraz z boiskiem wielofunkcyjnym;450 000,00
231;mazowieckie;miński;Miasto;Mińsk Mazowiecki;Mińsk Mazowiecki, ul. Budowlana;Budowa boiska piłkarskiego, bieżni okrężnej 400 m oraz terenowych urządzeń lekkoatletycznych;1 280 000,00
232;mazowieckie;miński;Miasto;Mińsk Mazowiecki;Mińsk Mazowiecki, ul. Wyszyńskiego 56;Modernizacja technologii uzdatniania wody oraz instalacja wentylacji aquaparku wraz z budową zewnętrznego placu zabaw;100 000,00
233;mazowieckie;miński;Gmina;Cegłów;Cegłów, ul. Poprzeczna 27;Budowa hali sportowej;3 330 400,00
234;mazowieckie;mławski;Gmina;Stupsk;Wyszyny Kościelne;Budowa boiska piłkarskiego;46 200,00
235;mazowieckie;mławski;Miasto;Mława;Mława, ul. Warszawska 52;Budowa boiska wielofunkcyjnego, ścieżki sprawnościowej i placu zabaw;198 700,00
236;mazowieckie;mławski;Miasto;Mława;Mława, ul. Kopernika 38;Remont treningowego boiska piłkarskiego;1 000 000,00
237;mazowieckie;nowodworski;Miasto;Nowy Dwór Mazowiecki;Nowy Dwór Mazowiecki, ul. Młodzieżowa 1;Budowa hali sportowej;2 000 000,00
238;mazowieckie;nowodworski;Gmina;Nasielsk;Nasielsk, ul. Sportowa 28;Remont zaplecza sanitarno-szatniowego;610 800,00
239;mazowieckie;ostrołęcki;Gmina;Rzekuń;Rzekuń, ul. Nowa;Budowa placu zabaw;50 000,00
240;mazowieckie;ostrołęcki;Gmina;Czarnia;Surowe, działka nr 2075;Budowa boiska wielofunkcyjnego;171 100,00
241;mazowieckie;ostrołęcki;Gmina;Myszyniec;Myszyniec, ul. Dzieci Polskich 1A;Remont boiska piłkarskiego;991 000,00
